date,country,Anmeldungen in Deutschland,Vorhersage
2019-07-31,Portugal,109.61597542242703,109.42152995163377
2019-10-31,Portugal,130.01536098310294,148.78322519178488
2011-01-31,Griechenland,133.26370757180158,
2011-04-30,Griechenland,152.58485639686683,
2011-07-31,Griechenland,175.9442993907746,
2011-10-31,Griechenland,258.76414273281114,
2012-01-31,Griechenland,289.81723237597913,219.0216680362251
2012-04-30,Griechenland,271.053089643168,280.08199611028857
2012-07-31,Griechenland,296.5013054830287,283.97412376867635
2012-10-31,Griechenland,348.0243690165361,348.89027536152463
2013-01-31,Griechenland,280.3133159268929,312.50288983592793
2013-04-30,Griechenland,264.26457789382073,269.43310279774454
2013-07-31,Griechenland,264.2993907745866,275.6861782231623
2013-10-31,Griechenland,342.6631853785901,322.42856404377807
2014-01-31,Griechenland,283.41166231505656,271.1087336492041
2014-04-30,Griechenland,248.49434290687554,261.48659972910883
2014-07-31,Griechenland,237.35422106179286,256.41244878088116
2014-10-31,Griechenland,309.27763272410795,304.82376425844893
2015-01-31,Griechenland,264.0905134899913,255.68749315416386
2015-04-30,Griechenland,226.59704090513492,232.88549918859647
2015-07-31,Griechenland,239.51261966927765,224.06559192182405
2015-10-31,Griechenland,366.2315056570931,314.7642403193865
2016-01-31,Griechenland,284.3516100957354,287.95343952096067
2016-04-30,Griechenland,248.49434290687554,249.29873183251874
2016-07-31,Griechenland,224.64751958224545,248.02231617128717
2016-10-31,Griechenland,309.24281984334203,346.60817323155794
2017-01-31,Griechenland,260.6440382941688,260.593588416913
2017-04-30,Griechenland,226.49260226283724,230.01073003240703
2017-07-31,Griechenland,239.9651871192341,222.82005983566177
2017-10-31,Griechenland,311.2619669277633,308.62716401133093
2018-01-31,Griechenland,263.7423846823325,269.1652952977964
2018-04-30,Griechenland,231.12271540469976,233.22199399688083
2018-07-31,Griechenland,239.65187119234116,237.03070303435618
2018-10-31,Griechenland,316.97127937336813,310.0517958199031
2019-01-31,Griechenland,247.20626631853784,261.5326375556313
2019-04-30,Griechenland,231.4360313315927,226.0396955628864
2019-07-31,Griechenland,212.53263707571804,236.02468715138457
2019-10-31,Griechenland,272.3759791122716,295.58710189247716
