,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
country,Österreich,Belgien,Bulgarien,Schweiz,Zypern,Tschechien,Dänemark,Estland,Spanien,Finnland,Frankreich,Vereinigtes Königreich,Griechenland,Kroatien,Ungarn,Irland,Italien,Lettland,Luxemburg,Litauen,Niederlande,Polen,Portugal,Rumänien,Schweden,Slowenien,Slowakei
date,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-01,-0.053103964098728494,0.07256235827664399,0.07533746807734404,0.032167832167832165,0.9104477611940298,-0.016225448334756618,-0.036211699164345405,-0.055248618784530384,0.23971669844728957,0.04883227176220807,0.012234910277324634,-0.007255139056831923,0.27924089852827266,0.19477911646586346,0.20476389469285416,0.02857142857142857,0.39349545854087314,-0.11683532658693652,0.0446927374301676,-0.11333333333333333,0.06944444444444445,-0.019539385030013474,0.2676470588235294,0.13888003400276272,0.04035874439461883,0.24678111587982832,-0.07137490608564989
2012-10-01,0.09886792452830188,-0.030973451327433628,0.17073170731707318,0.0453857791225416,0.8490566037735849,0.13179723502304147,0.05405405405405406,-0.13942307692307693,0.4888888888888889,-0.04416403785488959,0.06432481751824817,0.12097407698350353,0.35841170323928945,0.16721311475409836,0.2601471635414194,0.09795918367346938,0.5233342325330456,0.16129032258064516,0.04484304932735426,-0.014161220043572984,-0.03722854188210962,0.07230653024788848,0.3353733170134639,0.30915371329879104,0.14893617021276595,0.4253393665158371,0.09320557491289198
2012-11-01,0.010404624277456647,0.3347107438016529,0.022417379246591172,0.09408602150537634,-0.2,-0.0013089005235602095,-0.14207650273224043,-0.15841584158415842,0.30172865374541646,-0.05128205128205128,0.04317269076305221,0.05412054120541206,-0.009472259810554804,0.12674418604651164,0.0173026783598009,-0.1935483870967742,0.4416243654822335,-0.15006002400960383,-0.04716981132075472,-0.20159453302961275,-0.02807486631016043,0.04938961142583579,0.1797752808988764,0.24092454112848402,0.1271186440677966,0.5166051660516605,0.08789954337899543
2012-12-01,-0.2144927536231884,-0.1712707182320442,-0.11118464592984778,-0.13029315960912052,-0.25,0.08793456032719836,-0.21774193548387097,-0.2236842105263158,0.17490774907749077,0.0,-0.19571045576407506,-0.10101010101010101,-0.18380414312617702,0.06976744186046512,-0.04153354632587859,-0.022222222222222223,0.2675983436853002,-0.28295254833040423,-0.2222222222222222,-0.24308300395256918,-0.23108108108108108,-0.160625,0.22526315789473683,-0.025190839694656488,-0.22758620689655173,0.1643835616438356,0.026845637583892617
2013-01-01,-0.02176278563656148,0.2116788321167883,0.03907411339987259,0.09322033898305085,0.3448275862068966,0.07848837209302326,0.21212121212121213,0.21839080459770116,0.5171252105558675,0.060240963855421686,0.045493562231759654,-0.016,0.08953574060427413,-0.036420395421436005,0.08564754736568907,0.04878048780487805,0.5071245889660212,0.01325301204819277,0.16233766233766234,-0.030534351145038167,0.04157782515991471,0.06950308541734329,0.36488027366020526,0.20409711684370258,0.1608695652173913,0.19798657718120805,0.07478632478632478
2013-02-01,-0.008620689655172414,-0.030303030303030304,0.03518072289156626,0.05570291777188329,0.21428571428571427,0.17482517482517482,-0.06403940886699508,-0.22340425531914893,0.40605368360936606,-0.16981132075471697,-0.01536983669548511,0.024869109947643978,-0.045990566037735846,-0.023923444976076555,0.13170584689572032,-0.01639344262295082,0.3987892546348846,-0.00894187779433681,0.3238095238095238,-0.0405616224648986,0.17918313570487485,0.10610398005355988,0.2554112554112554,0.17503869424511045,-0.20346320346320346,0.5051194539249146,-0.06557377049180328
2013-03-01,-0.12041884816753927,-0.02564102564102564,-0.07088506207448939,-0.05714285714285714,0.12903225806451613,-0.05084745762711865,-0.003787878787878788,0.5402298850574713,0.2707444286391655,-0.044,-0.008011653313911144,-0.035211267605633804,-0.09268645908761766,0.03651685393258427,0.027264106211474633,-0.1527777777777778,0.3153401266868631,-0.22727272727272727,0.09333333333333334,-0.20146520146520147,-0.07882352941176471,-0.10521709861999327,0.09703504043126684,-0.004657902908601594,0.04219409282700422,0.18204488778054864,-0.1741405082212257
2013-04-01,0.015120967741935484,-0.03103448275862069,0.10007911392405064,0.07243460764587525,0.34285714285714286,0.2407185628742515,0.18478260869565216,-0.02727272727272727,0.5766836445953594,0.20496894409937888,0.19337979094076654,0.08811475409836066,0.0717741935483871,0.12210200927357033,0.08376144739781104,-0.1048951048951049,0.47368421052631576,0.03530895334174023,0.015544041450777202,0.09801136363636363,0.21238938053097345,0.16409307621148508,0.3796477495107632,0.17004998469856167,-0.05220883534136546,0.17657992565055763,0.2567084078711986
2013-05-01,-0.05925925925925926,-0.08812260536398467,-0.015977058582548137,-0.047619047619047616,1.3928571428571428,0.15129682997118155,-0.014925373134328358,-0.041666666666666664,0.2693156732891832,-0.3,0.041294642857142856,-0.03974358974358974,-0.2103499627699181,0.04141501294219154,-0.015539305301645339,-0.1569767441860465,0.38481675392670156,-0.1654501216545012,0.05,-0.15739484396200815,0.22822822822822822,-0.014854614412136535,0.2074688796680498,-0.07495784148397977,-0.2032967032967033,0.24175824175824176,0.10064043915827996
2013-06-01,-0.002506265664160401,-0.06882591093117409,-0.0017942583732057417,0.15634218289085547,0.7272727272727273,0.13005050505050506,0.1417910447761194,0.041237113402061855,0.3373493975903614,-0.015873015873015872,0.05353319057815846,0.012437810945273632,-0.0757918552036199,0.43478260869565216,0.07521938988717092,-0.04830917874396135,0.37673868008286476,-0.058572949946751864,0.015873015873015872,-0.19784172661870503,0.13275613275613277,0.07830202208518572,0.2785388127853881,0.2884469409442842,0.004424778761061947,0.09782608695652174,0.05739514348785872
