date,country,Anmeldungen in Deutschland,Suche nach Gehalt in Deutschland (Google Trends Index)
2011-06-01,Österreich,81.39904610492846,372.58741258741264
2011-07-01,Frankreich,84.68392023759016,113.39092872570194
2011-07-01,Niederlande,101.16797621575707,136.75511091779035
2011-07-01,Polen,181.23529104126354,439.076376554174
2011-07-01,Rumänien,137.0741482965932,65.52262090483619
2011-07-01,Schweiz,97.97898140662895,105.13022888713495
2011-07-01,Vereinigtes Königreich,115.63270539500938,152.66475644699142
2011-07-01,Österreich,109.37996820349763,196.3636363636364
2011-08-01,Frankreich,115.1463725074247,80.34557235421167
2011-08-01,Niederlande,127.16075599915055,88.21226620269684
2011-08-01,Polen,177.11416766905498,125.75488454706927
2011-08-01,Rumänien,146.51465092346857,111.0764430577223
2011-08-01,Schweiz,133.87227162489896,288.8713496448303
2011-08-01,Vereinigtes Königreich,152.91448860834402,98.3381088825215
2011-08-01,Österreich,125.80816110227875,127.55244755244757
2011-09-01,Frankreich,208.06109461179466,127.64578833693305
2011-09-01,Niederlande,128.43491187088554,47.49891257068291
2011-09-01,Polen,170.7651273468961,151.3321492007105
2011-09-01,Rumänien,152.91664409900883,49.921996879875195
2011-09-01,Schweiz,173.40339531123686,204.57774269928964
2011-09-01,Vereinigtes Königreich,195.7589505868429,42.63610315186247
2011-09-01,Österreich,141.7064122946476,174.5454545454546
2011-10-01,Frankreich,185.99915146372507,151.61987041036718
2011-10-01,Niederlande,123.21087279677214,72.55328403653763
2011-10-01,Polen,152.3246692118613,164.12078152753108
2011-10-01,Rumänien,131.71207279423714,146.64586583463338
2011-10-01,Schweiz,160.30719482619241,131.64956590370954
2011-10-01,Vereinigtes Königreich,150.66574612880956,105.90257879656161
2011-10-01,Österreich,140.4345521992581,231.60839160839166
2011-11-01,Frankreich,84.514212982605,197.62419006479482
2011-11-01,Niederlande,95.30685920577618,135.71117877337974
2011-11-01,Polen,131.09147011139586,225.9325044404973
2011-11-01,Rumänien,119.50928884796622,122.93291731669267
2011-11-01,Schweiz,90.21827000808408,40.72612470402525
2011-11-01,Vereinigtes Königreich,96.22250715060657,132.72206303724928
2011-11-01,Österreich,91.67991520932698,139.30069930069934
2011-12-01,Frankreich,63.300806109461185,123.75809935205184
2011-12-01,Niederlande,94.28753450838819,38.10352327098739
2011-12-01,Polen,83.67763192301658,279.21847246891656
2011-12-01,Rumänien,85.1432594919569,34.321372854914195
2011-12-01,Schweiz,74.45432497978982,20.836621941594313
2011-12-01,Vereinigtes Königreich,70.30279120228819,123.09455587392553
2011-12-01,Österreich,73.13195548489666,292.02797202797206
2012-01-01,Frankreich,98.85447602885023,242.33261339092874
2012-01-01,Niederlande,119.5158207687407,98.65158764680297
2012-01-01,Polen,128.82171434548403,445.47069271758437
2012-01-01,Rumänien,128.49482749282348,31.825273010920434
2012-01-01,Schweiz,114.47049312853679,89.97632202052091
2012-01-01,Vereinigtes Königreich,118.35486734391954,103.83954154727795
2012-01-01,Österreich,97.40328563857975,135.94405594405598
2012-02-01,Frankreich,88.33262621977089,226.78185745140388
2012-02-01,Niederlande,96.70843066468464,63.679860809047405
2012-02-01,Polen,113.26813451179332,598.9342806394317
2012-02-01,Rumänien,115.47960786437741,67.39469578783151
2012-02-01,Schweiz,91.43088116410671,237.72691397000781
2012-02-01,Vereinigtes Königreich,90.42311865075452,200.80229226361038
2012-02-01,Österreich,86.06253312135665,486.7132867132868
2012-03-01,Frankreich,116.50403054730589,273.4341252699784
2012-03-01,Niederlande,108.30324909747291,119.53023053501524
2012-03-01,Polen,155.37890277705142,294.13854351687394
2012-03-01,Rumänien,156.97882250988465,43.05772230889236
2012-03-01,Schweiz,118.83589329021828,211.20757695343326
2012-03-01,Vereinigtes Königreich,100.83834697701943,170.54441260744989
2012-03-01,Österreich,101.21886592474827,261.8181818181818
2012-04-01,Frankreich,97.41196436147645,161.98704103671707
2012-04-01,Niederlande,100.78572945423656,90.30013049151806
2012-04-01,Polen,146.990220176769,185.43516873889877
2012-04-01,Rumänien,159.2861398472621,74.88299531981279
2012-04-01,Schweiz,120.53354890864996,97.55327545382791
2012-04-01,Vereinigtes Königreich,115.51435052766546,76.33237822349571
2012-04-01,Österreich,105.14043455219925,295.3846153846154
2012-05-01,Frankreich,76.02885023334748,225.4859611231102
2012-05-01,Niederlande,84.85878105754936,165.98521096128752
2012-05-01,Polen,165.4725171277653,170.5150976909414
2012-05-01,Rumänien,192.70974381194824,46.80187207488299
2012-05-01,Schweiz,96.76637025060631,242.46250986582473
2012-05-01,Vereinigtes Königreich,92.31679652825723,94.89971346704871
2012-05-01,Österreich,85.85055643879174,293.70629370629376
2012-06-01,Frankreich,79.25328807806534,209.28725701943844
2012-06-01,Niederlande,88.2990019112338,53.762505437146594
2012-06-01,Polen,218.80654777469798,283.48134991119
2012-06-01,Rumänien,214.0605535395115,80.49921996879876
2012-06-01,Schweiz,82.21503637833469,153.4333070244672
2012-06-01,Vereinigtes Königreich,95.1573133445113,178.79656160458455
2012-06-01,Österreich,84.57869634340223,161.11888111888112
2012-07-01,Frankreich,95.96945269410267,153.56371490280776
2012-07-01,Niederlande,121.55447016351665,151.37016093953895
2012-07-01,Polen,198.89127137702002,426.28774422735347
2012-07-01,Rumänien,171.21269566159347,121.06084243369735
2012-07-01,Schweiz,122.71624898949072,250.98658247829508
2012-07-01,Vereinigtes Königreich,133.74100009862906,58.45272206303726
2012-07-01,Österreich,118.49496555378909,270.20979020979024
2012-08-01,Frankreich,122.10436996181586,88.12095032397409
2012-08-01,Niederlande,131.49288596304947,24.010439321444107
2012-08-01,Polen,178.54714711573664,279.21847246891656
2012-08-01,Rumänien,171.24519308888046,94.22776911076444
2012-08-01,Schweiz,135.32740501212612,104.18310970797155
2012-08-01,Vereinigtes Königreich,165.10503994476773,200.1146131805158
2012-08-01,Österreich,111.39374668786432,250.0699300699301
2012-09-01,Frankreich,210.6067034365719,192.44060475161987
2012-09-01,Niederlande,137.35400297303036,167.02914310569815
2012-09-01,Polen,167.42848177396579,238.72113676731792
2012-09-01,Rumänien,174.15371283106757,180.9672386895476
2012-09-01,Schweiz,178.981406628941,183.74112075769534
2012-09-01,Vereinigtes Königreich,194.33869217871586,145.10028653295132
2012-09-01,Österreich,134.181240063593,243.3566433566434
2012-10-01,Frankreich,197.9635129401782,102.37580993520518
2012-10-01,Niederlande,118.62391165852621,117.96433231839931
2012-10-01,Polen,163.33873751372835,95.91474245115454
2012-10-01,Rumänien,172.4313491848562,34.321372854914195
2012-10-01,Schweiz,167.5828617623282,85.24072612470401
2012-10-01,Vereinigtes Königreich,168.89239569977318,139.59885386819485
2012-10-01,Österreich,154.3190249072602,159.44055944055947
2012-11-01,Frankreich,88.16291896478575,111.44708423326135
2012-11-01,Niederlande,92.63113187513272,127.88168769030015
2012-11-01,Polen,137.56602688143926,221.6696269982238
2012-11-01,Rumänien,148.30200942425392,114.1965678627145
2012-11-01,Schweiz,98.70654810024253,133.5438042620363
2012-11-01,Vereinigtes Königreich,101.43012131373904,97.65042979942695
2012-11-01,Österreich,92.6338102808691,203.07692307692307
2012-12-01,Frankreich,50.91217649554518,94.60043196544277
2012-12-01,Niederlande,72.49946910172011,89.25619834710744
2012-12-01,Polen,70.23691229538204,223.8010657193606
2012-12-01,Rumänien,82.99842929101446,87.3634945397816
2012-12-01,Schweiz,64.75343573160873,159.1160220994475
2012-12-01,Vereinigtes Königreich,63.20149916165303,116.90544412607451
