date,country,Anmeldungen in Deutschland,Suche nach Jobs in Deutschland (Google Trends Index)
2014-10-01,Vereinigtes Königreich,159.77907091429137,124.66344932689863
2014-11-01,Vereinigtes Königreich,100.1282177729559,106.6802133604267
2014-12-01,Vereinigtes Königreich,75.51040536542065,89.00177800355601
2015-01-01,Vereinigtes Königreich,112.55547884406747,124.66344932689863
2015-02-01,Vereinigtes Königreich,98.47124963014105,108.81381762763525
2015-03-01,Vereinigtes Königreich,113.14725318078706,126.49225298450595
2015-04-01,Vereinigtes Königreich,115.75106026235329,102.10820421640838
2015-05-01,Vereinigtes Königreich,87.10918236512477,113.08102616205231
2015-06-01,Vereinigtes Königreich,117.17131867048032,116.43383286766571
2015-07-01,Vereinigtes Königreich,133.9777098333169,127.40665481330961
2015-08-01,Vereinigtes Königreich,178.71584968931847,106.07061214122429
2015-09-01,Vereinigtes Königreich,221.56031166781736,145.38989077978152
2015-10-01,Vereinigtes Königreich,174.5734293322813,103.63220726441452
2015-11-01,Vereinigtes Königreich,116.10612486438505,126.18745237490474
2015-12-01,Vereinigtes Königreich,83.20347174277542,88.69697739395477
2016-01-01,Vereinigtes Königreich,136.58151691488314,128.01625603251205
2016-02-01,Vereinigtes Königreich,109.24154255843771,129.8450596901193
2016-03-01,Vereinigtes Königreich,113.8573823848506,122.83464566929132
2016-04-01,Vereinigtes Königreich,114.92257619094586,125.8826517653035
2016-05-01,Vereinigtes Königreich,100.95670184436337,95.4025908051816
2016-06-01,Vereinigtes Königreich,115.1592859256337,171.9075438150876
2016-07-01,Vereinigtes Königreich,135.98974257816354,144.17068834137666
2016-08-01,Vereinigtes Königreich,191.26146562777396,67.05613411226821
2016-09-01,Vereinigtes Königreich,225.9394417595424,114.30022860045716
2016-10-01,Vereinigtes Königreich,176.70381694447187,108.20421640843281
2016-11-01,Vereinigtes Königreich,124.2726107111155,106.6802133604267
2016-12-01,Vereinigtes Königreich,81.90156820199232,80.77216154432305
2017-01-01,Vereinigtes Königreich,133.2675806292534,123.74904749809497
2017-02-01,Vereinigtes Königreich,116.69789920110465,114.9098298196596
2017-03-01,Vereinigtes Königreich,133.62264523128516,121.3106426212852
2017-04-01,Vereinigtes Königreich,131.6106124864385,105.76581153162303
2017-05-01,Vereinigtes Königreich,123.32577177236415,100.88900177800353
2017-06-01,Vereinigtes Königreich,117.52638327251208,109.11861823723645
2017-07-01,Vereinigtes Königreich,162.73794259788934,103.63220726441452
2017-08-01,Vereinigtes Königreich,208.30456652529836,106.37541275082548
2017-09-01,Vereinigtes Königreich,229.60844264720384,107.59461518923037
2017-10-01,Vereinigtes Königreich,189.722852352303,101.19380238760476
2017-11-01,Vereinigtes Königreich,121.43209389486142,112.77622555245105
2017-12-01,Vereinigtes Königreich,93.14528059966467,93.8785877571755
2018-01-01,Vereinigtes Königreich,146.16826116974062,117.34823469646938
2018-02-01,Vereinigtes Königreich,113.265608048131,121.92024384048767
2018-03-01,Vereinigtes Königreich,138.12013019035408,87.47777495554989
2018-04-01,Vereinigtes Königreich,128.77009567018445,111.252222504445
2018-05-01,Vereinigtes Königreich,120.84031955814183,92.96418592837183
2018-06-01,Vereinigtes Königreich,129.36187000690404,110.64262128524254
2018-07-01,Vereinigtes Königreich,145.93155143505277,76.80975361950722
2018-08-01,Vereinigtes Königreich,209.96153466811322,103.63220726441452
2018-09-01,Vereinigtes Königreich,241.68063911628366,96.31699263398525
2018-10-01,Vereinigtes Königreich,203.45201696419767,100.27940055880109
2018-11-01,Vereinigtes Königreich,124.50932044580334,74.6761493522987
2018-12-01,Vereinigtes Königreich,100.48328237498767,66.44653289306576
2019-01-01,Vereinigtes Königreich,166.8803629549265,104.24180848361692
2019-02-01,Vereinigtes Königreich,162.85629746523327,116.43383286766571
2019-03-01,Vereinigtes Königreich,179.78104349541374,105.46101092202183
2019-04-01,Vereinigtes Königreich,129.48022487424794,78.0289560579121
2019-05-01,Vereinigtes Königreich,109.95167176250125,87.17297434594865
2019-06-01,Vereinigtes Königreich,123.08906203767631,99.06019812039622
2019-07-01,Vereinigtes Königreich,145.69484170036492,100.27940055880109
2019-08-01,Vereinigtes Königreich,196.82414439293817,85.34417068834136
2019-09-01,Vereinigtes Königreich,247.8350922181675,108.81381762763525
2019-10-01,Vereinigtes Königreich,220.96853733109776,101.80340360680722
2019-11-01,Vereinigtes Königreich,120.84031955814183,90.22098044196086
2019-12-01,Vereinigtes Königreich,107.46621954827893,97.2313944627889
2020-01-01,Vereinigtes Königreich,,120.70104140208278
2020-02-01,Vereinigtes Königreich,,110.94742189484377
2020-03-01,Vereinigtes Königreich,,126.18745237490474
2020-04-01,Vereinigtes Königreich,,102.71780543561087
2020-05-01,Vereinigtes Königreich,,117.6530353060706
2020-06-01,Vereinigtes Königreich,,103.63220726441452
2020-07-01,Vereinigtes Königreich,,119.17703835407667
2020-08-01,Vereinigtes Königreich,,106.6802133604267
2020-09-01,Vereinigtes Königreich,,112.47142494284988
2020-10-01,Vereinigtes Königreich,,113.99542799085596
2020-11-01,Vereinigtes Königreich,,87.17297434594865
2020-12-01,Vereinigtes Königreich,,66.44653289306576
