date,country,Anmeldungen in Deutschland_x,Suche nach Jobs in Deutschland (Google Trends Index)_x,Anmeldungen in Deutschland_y,Suche nach Jobs in Deutschland (Google Trends Index)_y
2011-12-01,Spanien,119.49731755713971,306.6997518610421,151.92180495333284,397.89081885856075
2012-01-01,Spanien,157.06621591827735,351.36476426799004,156.77959873594475,340.3225806451612
2012-02-01,Spanien,154.4205188505916,281.38957816377166,161.29933122657454,290.818858560794
2012-03-01,Spanien,185.99250385830823,250.12406947890815,166.79650180054384,282.3821339950372
2012-04-01,Spanien,155.83155728669067,323.07692307692304,170.88263393841405,283.49875930521085
2012-05-01,Spanien,159.8001028882193,224.81389578163768,175.01286102741236,274.06947890818856
2012-06-01,Spanien,168.35452340706988,239.7022332506203,180.37774674799735,280.0248138957816
2012-07-01,Spanien,229.91107518189168,312.6550868486352,188.10906151245683,292.0595533498759
2012-08-01,Spanien,251.8703608436834,323.07692307692304,196.05350187403542,301.1166253101737
2012-09-01,Spanien,401.35224516792823,337.96526054590566,202.5207613728228,284.86352357320095
2012-10-01,Spanien,413.6106415815389,272.4565756823821,213.83846549570077,286.7245657568238
2012-11-01,Spanien,219.15190710663626,263.5235732009925,218.0715808039979,290.57071960297765
2012-12-01,Spanien,140.39832439185713,180.1488833746898,219.81333137355773,280.0248138957816
2013-01-01,Spanien,238.28911589622987,269.47890818858554,226.5819063717204,273.2009925558312
2013-02-01,Spanien,217.12353935474388,226.30272952853593,231.80715808039977,268.6104218362282
2013-03-01,Spanien,236.34893804659364,205.45905707196027,236.0035275960902,264.88833746898257
2013-04-01,Spanien,245.69706768574994,196.52605459057068,243.4923201293452,254.34243176178654
2013-05-01,Spanien,202.83677518924083,214.39205955334987,247.07870948776363,253.47394540942923
2013-06-01,Spanien,225.14882046005732,147.39454094292802,251.8115675755126,245.78163771712153
2013-07-01,Spanien,317.3954582200338,147.39454094292802,259.1019328286911,232.0099255583126
2013-08-01,Spanien,293.0550451973249,202.48138957816371,262.53398985816125,221.96029776674936
2013-09-01,Spanien,493.6870728301609,233.74689826302725,270.228558830014,213.27543424317614
2013-10-01,Spanien,378.59925038583077,199.5037220843672,267.3109428970383,207.1960297766749
2013-11-01,Spanien,224.44330124200778,177.17121588089327,267.75189240831924,199.99999999999997
2013-12-01,Spanien,147.27713676784006,138.46153846153845,268.32512677298445,196.52605459057068
2014-01-01,Spanien,252.84044976850151,148.8833746898263,269.5377379290071,186.4764267990074
2014-02-01,Spanien,209.80377746747996,133.99503722084364,268.9277577717351,178.7841191066997
2014-03-01,Spanien,241.111192768428,123.57320099255583,269.324612331888,171.96029776674936
2014-04-01,Spanien,204.2478136253399,111.66253101736969,265.87050782685384,164.8883374689826
2014-05-01,Spanien,213.86051297126477,96.77419354838709,266.7891526420225,155.08684863523573
2014-06-01,Spanien,254.33967810685675,104.2183622828784,269.2217241125891,151.48883374689825
2014-07-01,Spanien,280.79664878371426,113.15136476426797,266.1718233262291,148.63523573200987
2014-08-01,Spanien,265.980745204674,141.43920595533496,263.9156316601749,143.54838709677418
2014-09-01,Spanien,435.3935474388182,116.1290322580645,259.057837877563,133.74689826302728
2014-10-01,Spanien,325.4207393253472,105.70719602977665,254.62629528918936,125.9305210918114
2014-11-01,Spanien,193.4004556478283,113.15136476426797,252.0393914896744,120.59553349875931
2014-12-01,Spanien,154.4205188505916,114.64019851116625,252.63467332990368,118.61042183622827
2015-01-01,Spanien,202.924965091497,113.15136476426797,248.47504960682,115.63275434243174
2015-02-01,Spanien,169.67737194091274,108.68486352357318,245.13118247960608,113.52357320099254
2015-03-01,Spanien,209.18644815168662,101.24069478908186,242.47078709487758,111.6625310173697
2015-04-01,Spanien,175.76247519658997,83.37468982630271,240.09700889248177,109.30521091811413
2015-05-01,Spanien,151.77482178290583,104.2183622828784,234.92320129345185,109.92555831265507
2015-06-01,Spanien,222.1503637833468,87.84119106699751,232.24075843315939,108.56079404466499
2015-07-01,Spanien,281.85492761078854,98.26302729528534,232.32894833541556,107.3200992555831
2015-08-01,Spanien,238.02454618946126,64.0198511166253,229.99926508414785,100.8684863523573
2015-09-01,Spanien,386.0953920776071,92.3076923076923,225.8910854707136,98.88337468982628
2015-10-01,Spanien,303.19688395678696,111.66253101736969,224.03909752333357,99.37965260545904
2015-11-01,Spanien,151.2456823693687,77.41935483870967,220.52619975012863,96.4019851116625
2015-12-01,Spanien,121.08473579775114,66.99751861042182,217.74821782905858,92.43176178660049
2016-01-01,Spanien,191.90122730947306,80.3970223325062,216.8295730138899,89.70223325062034
2016-02-01,Spanien,151.59844197839348,96.77419354838709,215.32299551701328,88.70967741935482
2016-03-01,Spanien,170.55927096347466,80.3970223325062,212.10406408466227,86.97270471464019
2016-04-01,Spanien,151.86301168516204,77.41935483870967,210.11244212537665,86.47642679900743
2016-05-01,Spanien,135.90063937679136,74.44168734491315,208.78959359153376,83.99503722084366
2016-06-01,Spanien,180.43654001616812,69.97518610421835,205.31344161093554,82.5062034739454
2016-07-01,Spanien,224.2669214374954,71.46401985111662,200.51444109649444,80.272952853598
2016-08-01,Spanien,234.5851400014698,86.35235732009924,200.2278239141618,82.13399503722083
2016-09-01,Spanien,357.16910413757626,96.77419354838709,197.81729991915927,82.5062034739454
2016-10-01,Spanien,270.6548100242522,86.35235732009924,195.10546042478134,80.3970223325062
2016-11-01,Spanien,158.12449474535163,56.575682382133984,195.67869478944658,78.66004962779155
2016-12-01,Spanien,124.43595208348643,56.575682382133984,195.95796281325786,77.79156327543423
2017-01-01,Spanien,160.7701918130374,75.9305210918114,193.36370985522157,77.41935483870968
2017-02-01,Spanien,137.92900712868376,41.68734491315136,192.22459028441241,72.82878411910669
2017-03-01,Spanien,148.159035790402,66.99751861042182,190.35790401998972,71.712158808933
2017-04-01,Spanien,118.70360843683399,59.553349875930515,187.59462041596237,70.22332506203473
2017-05-01,Spanien,130.16829573013888,68.48635235732009,187.11692511207465,69.72704714640197
2017-06-01,Spanien,128.84544719629602,61.04218362282877,182.8176673770853,68.98263027295285
2017-07-01,Spanien,162.97493936944218,58.06451612903225,177.71000220474752,67.86600496277914
2017-08-01,Spanien,182.81766737708531,38.709677419354826,173.3960461527155,63.89578163771711
2017-09-01,Spanien,314.3970015433233,65.50868486352356,169.8317042698611,61.290322580645146
2017-10-01,Spanien,253.28139927978245,53.59801488833747,168.38392004115528,58.56079404466501
2017-11-01,Spanien,136.87072830160943,69.97518610421835,166.6127728375101,59.6774193548387
2017-12-01,Spanien,97.2734621885794,75.9305210918114,164.3492320129345,61.29032258064515
2018-01-01,Spanien,147.80627618137723,74.44168734491315,163.26890571029617,61.16625310173696
2018-02-01,Spanien,128.22811788050268,69.97518610421835,162.46049827294775,63.52357320099254
2018-03-01,Spanien,151.2456823693687,69.97518610421835,162.71771882119498,63.77171215880893
2018-04-01,Spanien,136.78253839935326,59.553349875930515,164.22429631807157,63.771712158808924
2018-05-01,Spanien,113.23583449695009,68.48635235732009,162.8132578819725,63.771712158808924
2018-06-01,Spanien,132.02028367751893,71.46401985111662,163.0778275887411,64.64019851116625
2018-07-01,Spanien,169.94194164768132,49.13151364764267,163.65841111192768,63.895781637717114
2018-08-01,Spanien,180.7011097229367,83.37468982630271,163.4820313074153,67.61786600496276
2018-09-01,Spanien,322.7750422576615,71.46401985111662,164.18020136694346,68.11414392059552
2018-10-01,Spanien,253.7223487910634,72.95285359801488,164.21694715955022,69.72704714640197
2018-11-01,Spanien,150.011023737782,74.44168734491315,165.31197177923127,70.09925558312655
2018-12-01,Spanien,103.09399573748806,61.04218362282877,165.79701624164034,68.85856079404466
2019-01-01,Spanien,153.09767031674872,56.575682382133984,166.23796575292127,67.36972704714638
2019-02-01,Spanien,136.95891820386566,102.72952853598014,166.96553244653487,70.09925558312655
2019-03-01,Spanien,162.35761005364884,66.99751861042182,167.89152642022486,69.85111662531017
2019-04-01,Spanien,145.24876901594766,47.642679900744405,168.5970456382744,68.85856079404465
2019-05-01,Spanien,120.73197618872638,66.99751861042182,169.2217241125891,68.73449131513647
2019-06-01,Spanien,132.990372602337,64.0198511166253,169.30256485632393,68.11414392059552
2019-07-01,Spanien,168.08995370030132,77.41935483870967,169.1482325273756,70.4714640198511
2019-08-01,Spanien,180.26016021165577,77.41935483870967,169.11148673476887,69.97518610421837
2019-09-01,Spanien,308.22370838538984,84.86352357320098,167.8988755787462,71.09181141439205
2019-10-01,Spanien,247.90181524215478,83.37468982630271,167.41383111633718,71.96029776674936
2019-11-01,Spanien,144.63143970015432,72.95285359801488,166.96553244653487,71.83622828784118
2019-12-01,Spanien,111.56022635408245,108.68486352357318,167.67105166458438,75.80645161290322
2020-01-01,Spanien,,92.3076923076923,168.99590451438763,78.78411910669975
2020-02-01,Spanien,,69.97518610421835,172.19960314543985,76.0545905707196
2020-03-01,Spanien,,61.04218362282877,173.29315793341664,75.55831265508684
2020-04-01,Spanien,,72.95285359801488,176.79870654810023,77.66749379652605
2020-05-01,Spanien,,89.33002481389578,184.8082394565822,79.52853598014887
2020-06-01,Spanien,,72.95285359801488,193.44455059895643,80.272952853598
2020-07-01,Spanien,,89.33002481389578,198.51546997868746,81.26550868486352
2020-08-01,Spanien,,66.99751861042182,203.07929742044536,80.39702233250618
2020-09-01,Spanien,,92.3076923076923,168.03116043213052,81.01736972704714
2020-10-01,Spanien,,99.7518610421836,128.0958330271184,82.38213399503721
2020-11-01,Spanien,,75.9305210918114,111.56022635408249,82.63027295285359
2020-12-01,Spanien,,75.9305210918114,,79.90074441687344
2010-01-01,Portugal,82.64256777812402,122.69326683291773,82.64256777812402,122.69326683291773
2010-02-01,Portugal,96.10470551573698,68.8279301745636,89.37363664693049,95.76059850374067
2010-03-01,Portugal,116.48488625740106,98.75311720698257,98.41071985042068,96.75810473815464
2010-04-01,Portugal,102.64880024929883,56.85785536159602,99.47023995014023,86.78304239401498
2010-05-01,Portugal,93.48706762231224,104.73815461346636,98.27360548457463,90.37406483790525
2010-06-01,Portugal,90.8694297288875,68.8279301745636,97.03957619196011,86.78304239401497
2010-07-01,Portugal,117.98067933935805,41.89526184538654,100.0311623558741,80.37050231563948
2010-08-01,Portugal,111.06263633530695,128.6783042394015,101.4100966033032,86.40897755610975
2010-09-01,Portugal,132.75163602368337,200.49875311720703,104.89248987223434,99.08561928512056
2010-10-01,Portugal,107.88407603614833,200.49875311720703,105.19164848862575,109.22693266832921
2010-11-01,Portugal,94.04799002804612,38.90274314214464,104.17858862857305,102.83382452958516
2010-12-01,Portugal,54.03552508569648,68.8279301745636,100.0,100.00000000000001
2011-01-01,Portugal,103.58367092552197,380.04987531172077,101.74509192894982,121.44638403990028
2011-02-01,Portugal,114.24119663446555,260.3491271820449,103.25646618884387,137.4064837905237
2011-03-01,Portugal,140.23060143346834,215.46134663341655,105.23527578684947,147.1321695760599
2011-04-01,Portugal,106.01433468370207,149.6259351620948,105.5157369897164,154.86284289276813
2011-05-01,Portugal,130.6949205359925,230.42394014962596,108.61639139918977,165.33665835411475
2011-06-01,Portugal,110.50171392957307,194.51371571072323,110.25241508258024,175.81047381546136
2011-07-01,Portugal,124.52477407291991,134.6633416458853,110.79775631037705,183.5411471321696
2011-08-01,Portugal,140.417575568713,203.4912718204489,113.24400124649424,189.77556109725688
2011-09-01,Portugal,190.713617949517,230.42394014962596,118.07416640698035,192.26932668329184
2011-10-01,Portugal,152.7578684948582,221.44638403990027,121.81364911187285,194.0149625935163
2011-11-01,Portugal,133.12558429417263,230.42394014962596,125.07011530071672,209.9750623441397
2011-12-01,Portugal,88.81271424119663,215.46134663341655,127.96821439700841,222.19451371571077
2012-01-01,Portugal,163.97631660953567,257.356608478803,133.00093487067622,211.97007481296762
2012-02-01,Portugal,172.76410096603303,2094.763092269327,137.87784356497352,364.8379052369078
2012-03-01,Portugal,208.10221252726703,565.5860349127183,143.5338111561234,394.01496259351626
2012-04-01,Portugal,191.0875662200062,377.0573566084789,150.62324711748207,412.9675810473816
2012-05-01,Portugal,180.243066375818,290.2743142144639,154.75225927080086,417.95511221945145
2012-06-01,Portugal,163.78934247429103,362.0947630922694,159.19289498286068,431.920199501247
2012-07-01,Portugal,205.4845746338423,254.36408977556115,165.93954502960423,441.89526184538664
2012-08-01,Portugal,202.11904019943904,329.17705735660854,171.08133374883138,452.3690773067333
2012-09-01,Portugal,241.75755687129947,317.20698254364095,175.3349953256466,459.60099750623453
2012-10-01,Portugal,203.98878155188532,284.2892768079801,179.60423808039886,464.83790523690783
2012-11-01,Portugal,157.05827360548457,299.2518703241896,181.59862885634152,470.5735660847881
